Minister_ID,First_Name,Last_Name,DOB,Sex,Prime_Minister,Political_Party,Start_Date,End_Date,Terms_Of_Service,S_ID
1,Sabina,Plumb,09-10-1946,F,Sabina,BJP,06-07-1961,26-06-1973,12,35
2,Chadwick,Ventura,13-03-1976,M,Chadwick,BJP,05-09-1981,15-06-1984,3,14
3,Keira,Ellis,13-03-1988,F,Keira,BJP,25-11-1953,10-05-1958,5,12
4,Russel,Egerton,09-02-1955,M,Russel,JantaDal,10-10-1997,22-04-2018,21,28
5,Joyce,Knight,12-02-1957,F,Joyce,BJP,28-10-1962,30-11-1977,15,30
6,Jamie,Haines,08-10-1948,F,Jamie,JantaDal,22-06-1949,19-08-1953,4,12
7,Candace,Clarke,12-10-1983,F,Candace,BJP,03-03-1987,19-12-2001,14,7
8,David,Nicholls,03-08-1933,M,David,AAP,15-12-1964,01-09-1971,7,7
9,Chad,Lucas,02-12-1928,M,Chad,JantaDal,21-09-1960,30-07-1968,8,18
10,Noah,Rees,21-03-1927,M,Noah,JantaDal,29-08-1998,19-11-2017,19,7
11,Percy,Hopkins,25-03-1990,M,Percy,Congress,10-11-1963,11-03-1970,7,19
12,Isabella,Bowen,14-12-1941,F,Isabella,Congress,20-05-1955,27-09-1976,21,33
13,Marla,Wheeler,14-12-1927,F,Marla,Congress,15-11-2004,23-12-2010,6,11
14,Abdul,Raven,01-11-1935,M,Abdul,JantaDal,29-08-1979,29-07-1988,9,10
15,Brad,Stevens,23-08-1972,M,Brad,AAP,07-01-1954,04-03-1962,8,13
16,Caleb,Gunn,14-12-1980,M,Caleb,Congress,12-12-1962,13-05-1979,17,5
17,Maia,Weatcroft,07-11-1944,F,Maia,Congress,06-12-1986,11-12-1992,6,8
18,Ciara,Verdon,13-09-1941,F,Ciara,Congress,28-06-1980,07-03-1985,5,32
19,Freya,Kelly,13-09-1960,F,Freya,AAP,07-11-1960,22-11-1968,8,14
20,Roger,Stone,28-06-1950,M,Roger,BJP,10-12-2012,29-05-2019,7,32
21,Cedrick,Lloyd,29-04-1929,M,Cedrick,JantaDal,24-12-2015,31-10-2021,6,20
22,Barney,Tailor,25-06-1924,M,Barney,AAP,14-05-1964,10-01-1978,14,8
23,Cecilia,Bayliss,12-03-1973,F,Cecilia,AAP,20-01-2006,16-03-2014,8,27
24,Jocelyn,Cork,11-07-1926,F,Jocelyn,Congress,02-04-2004,04-06-2005,1,13
25,Olivia,Farrant,20-04-1937,F,Olivia,BJP,17-04-2004,18-06-2010,6,3
26,Bryon,Carpenter,27-04-1944,M,Bryon,AAP,08-12-2002,01-08-2014,12,21
27,Abdul,Yoman,03-04-1929,M,Abdul,BJP,16-09-1994,24-07-2003,9,6
28,Javier,Farrell,10-07-1963,M,Javier,AAP,18-02-1969,10-09-1975,6,13
29,Ethan,Wellington,22-08-1934,M,Ethan,JantaDal,27-11-1998,03-01-2009,11,6
